car,displacement,cylinders,mileage,fuel_capacity,fuel_type,height,length,width,body_type,doors,power,torque,seating_capacity,wheelbase,price,bts
Hyundai Tucson 2Wd At Gl(O) Diesel,1995,4,16.38,62.0,2,1660.0,4475.0,1850.0,4,5,182.47,400,5,2670,2423720,SUV
Volkswagen Passat 2.0 Tdi Comfortline,1968,4,17.42,55.0,2,1456.0,4767.0,1832.0,5,4,177.54,350,5,2786,3021500,Sed
Volkswagen Passat 2.0 Tdi Highline,1968,4,17.42,66.0,2,1456.0,4767.0,1832.0,5,4,177.54,350,5,2786,3321500,Sed
Volkswagen Passat 2.0 Tdi Comfortline Connect,1968,4,17.42,55.0,2,1456.0,4767.0,1832.0,5,4,177.54,350,5,2786,2599000,Sed
Volkswagen Passat 2.0 Tdi Highline Connect,1968,4,17.42,66.0,2,1456.0,4767.0,1832.0,5,4,177.54,350,5,2786,2899000,Sed
Mercedes Benz A-Class 180,1595,4,15.5,50.0,1,1433.0,4292.0,1780.0,1,5,120.33,200,5,2699,2785288,Hat
Mercedes Benz A-Class 200D,2143,4,15.5,50.0,2,1433.0,4292.0,2022.0,1,5,134.14,300,5,2699,2886871,Hat
Volvo V40 Cross Country D3,1984,5,16.8,60.0,2,1458.0,4370.0,1783.0,1,5,147.95,350,5,2646,3283000,Hat
Volvo V40 Cross Country T4,1596,4,16.0,50.0,1,1470.0,4370.0,1857.0,1,5,177.54,240,5,2646,2962000,Hat
Mini Countryman Cooper S,1998,4,14.41,47.0,1,1557.0,4299.0,1822.0,1,5,189.37,280,5,2670,3490000,Hat
Mini Countryman Cooper Sd,1998,4,19.19,47.0,2,1557.0,4299.0,1822.0,1,5,187.4,400,5,2670,3740000,Hat
Mini Countryman Cooper S Jcw Inspired,1998,4,14.41,47.0,1,1557.0,4299.0,1822.0,1,5,189.37,280,5,2670,4140000,Hat
Mini Countryman Black Edition,1998,4,14.41,47.0,1,1557.0,4299.0,1822.0,1,5,189.37,280,5,2670,4240000,Hat
Mercedes Benz C-Class C 220D Prime,1950,4,12.06,66.0,2,1442.0,4686.0,1810.0,5,4,189.37,400,5,2840,4020000,Sed
Mercedes Benz C-Class C 220D Progressive,1950,4,12.06,66.0,2,1442.0,4686.0,1810.0,5,4,189.37,400,5,2840,4670000,Sed
Mercedes Benz C-Class C 300D Amg Line,1950,4,16.05,66.0,2,1442.0,4686.0,1810.0,5,4,237.7,500,5,2840,4974750,Sed
Mercedes Benz C-Class C 43 Amg,3982,8,14.49,66.0,1,1426.0,4756.0,1839.0,7,4,496.12,700,5,2840,7500000,Cou
Mercedes Benz C-Class C 200 Prime,1497,4,12.06,66.0,1,1442.0,4686.0,1810.0,5,4,178.52,280,5,2840,4090000,Sed
Mercedes Benz C-Class C 200 Progressive,1497,4,12.06,66.0,1,1442.0,4686.0,1810.0,5,4,178.52,280,5,2840,4654000,Sed
Lexus Nx 300H F-Sport,2494,6,18.3,56.0,1,1645.0,4.64,1.845,4,4,191.35,210,5,2660,6060000,SUV
Lexus Nx 300H Luxury,2494,6,18.3,56.0,1,1645.0,4640.0,1845.0,4,4,191.35,210,5,2660,5990000,SUV
Jaguar F-Pace Prestige,1999,4,16.38,60.0,2,1651.0,4731.0,2175.0,4,5,177.54,430,5,2874,6463780,SUV
Jaguar F-Pace Prestige Petrol,1997,4,21.27,60.0,1,1651.0,4731.0,2175.0,4,5,243.62,369,5,2874,6422809,SUV
Volvo V90 Cross Country D5 Inscription,1969,4,17.2,60.0,2,1543.0,4950.0,2052.0,4,5,231.79,480,5,2941,6531000,SUV
Bmw X7 Xdrive 40I,2998,6,13.38,80.0,1,1805.0,5151.0,2000.0,4,5,330.42,450,7,3105,10490000,SUV
Bmw X7 Xdrive30D Dpe Signature,2993,6,13.38,80.0,2,1805.0,5151.0,2000.0,4,5,258.42,620,7,3105,10250000,SUV
Bmw M4 Coupe,2979,6,10.75,60.0,1,1383.0,4671.0,1870.0,7,2,425.1,550,4,2812,13590000,Cou
Porsche 911 Carrera S,2981,6,8.9,64.0,1,1300.0,4519.0,1852.0,7,2,443.84,530,4,2450,17420000,Cou
