car,displacement,cylinders,mileage,fuel_capacity,fuel_type,height,length,width,body_type,doors,power,torque,seating_capacity,wheelbase,price,bts
Jaguar F-Type Svr Convertible,5000,8,12.05,70.0,1,1311.0,4475.0,2042.0,9,2,559.24,700,2,2622,28004965,Con
Jaguar F-Type 2.0L Coupe,1997,6,15.3,63.0,1,1311.0,4482.0,1923.0,7,2,292.94,400,2,2622,9092578,Cou
Jaguar F-Type 2.0 Convertible R Dynamic,1997,8,10.7,63.0,1,1308.0,4482.0,1923.0,9,2,292.94,400,2,2622,10419200,Con
Jaguar F-Type 2.0 Coupe R Dynamic,1997,4,10.85,63.0,1,1311.0,4482.0,1923.0,7,2,292.94,400,2,2622,9366433,Cou
Bmw M5 Competition,4395,8,9.8,68.0,1,1473.0,4956.0,1903.0,5,4,616.45,750,4,2964,15490000,Sed
Ferrari 458 Spider V8,3902,8,5.5,86.0,1,1211.0,4568.0,1952.0,16,2,659.85,760,2,2650,43367500,"Cou,Con"
Maruti Suzuki R Wagon 1.2L Vxi,1197,3,21.5,32.0,1,1675.0,3655.0,1620.0,1,5,81.86,113,5,2435,513501,Hat
Maruti Suzuki R Wagon 1.2L Vxi (O),1197,3,21.5,32.0,1,1675.0,3655.0,1620.0,1,5,81.86,113,5,2435,520500,Hat
Tata Tiago Nrg 1.2L Revotron,1199,3,23.84,35.0,1,1587.0,3793.0,1665.0,6,5,83.84,114,5,2400,594993,Cro
Tata Tiago Nrg 1.05L Revotorq,1047,3,27.28,35.0,2,1587.0,3793.0,1665.0,6,5,69.04,140,5,2400,689993,Cro
Tata Tiago Nrg 1.2L Revotron Amt,1199,3,23.84,35.0,1,1587.0,3793.0,1665.0,6,5,83.84,114,5,2400,639993,Cro
Mahindra Nuvosport N4,1493,3,17.21,60.0,2,1870.0,3985.0,1850.0,4,5,98.63,240,7,2760,797802,SUV
Mahindra Nuvosport N6,1493,3,17.21,60.0,2,1870.0,3985.0,1850.0,4,5,98.63,240,7,2760,905642,SUV
Mahindra Nuvosport N8,1493,3,17.21,60.0,2,1870.0,3985.0,1850.0,4,5,98.63,240,7,2760,984818,SUV
Mahindra Nuvosport N6 Amt,1493,3,16.21,60.0,2,1870.0,3985.0,1850.0,4,5,98.63,240,7,2760,972359,SUV
Mahindra Nuvosport N8 Amt,1493,3,16.21,60.0,2,1870.0,3985.0,1850.0,4,5,98.63,240,7,2760,1048603,SUV
Nissan Kicks Xl Petrol,1498,4,14.23,50.0,1,1651.0,4384.0,1813.0,4,5,104.55,142,5,2673,955000,SUV
Nissan Kicks Xv Petrol,1498,4,14.23,50.0,1,1651.0,4384.0,1813.0,4,5,104.55,142,5,2673,1095000,SUV
Nissan Kicks Xl Diesel,1461,4,20.45,50.0,2,1651.0,4384.0,1813.0,4,5,108.5,240,5,2673,1109000,SUV
Nissan Kicks Xv Diesel,1461,4,20.45,50.0,2,1651.0,4384.0,1813.0,4,5,108.5,240,5,2673,1251000,SUV
Nissan Kicks Xv Premium,1461,4,20.45,50.0,2,1651.0,4384.0,1813.0,4,5,108.5,240,5,2673,1369000,SUV
Nissan Kicks Xv Premium (O),1461,4,20.45,50.0,2,1651.0,4384.0,1813.0,4,5,108.5,240,5,2673,1465000,SUV
Nissan Kicks Xv Premium (O) Dual Tone,1461,4,20.45,50.0,2,1651.0,4384.0,1813.0,4,5,108.5,240,5,2673,1465000,SUV
Nissan Kicks Xe Diesel,1461,4,20.45,50.0,2,1651.0,4384.0,1813.0,4,5,108.5,240,5,2673,989000,SUV
Land Rover Discovery 3.0 Hse Diesel,2993,6,18.0,85.0,2,1846.0,4988.0,2200.0,4,5,254.47,600,7,2922,10205494,SUV
Land Rover Discovery 3.0 Se Diesel,2993,6,18.0,85.0,2,1846.0,4988.0,2200.0,4,5,254.47,600,7,2922,9689321,SUV
Land Rover Discovery 3.0 Hse Petrol,2995,6,9.17,89.0,1,1846.0,4988.0,2200.0,4,5,388.61,450,7,2922,8433741,SUV
Land Rover Discovery 3.0 Se Petrol,2995,6,9.17,89.0,1,1846.0,4988.0,2200.0,4,5,388.61,450,7,2922,8077550,SUV
Land Rover Discovery 3.0 S Diesel,2993,6,18.0,85.0,2,1846.0,4988.0,2200.0,4,5,254.47,600,7,2922,8877094,SUV
Land Rover Discovery 3.0 S Petrol,2995,6,9.17,89.0,1,1846.0,4988.0,2200.0,4,5,388.61,450,7,2922,7693664,SUV
Land Rover Discovery 3.0 Hse Luxury Diesel,2993,6,18.0,85.0,2,1846.0,4988.0,2200.0,4,5,254.47,600,7,2922,10861088,SUV
Land Rover Discovery 3.0 Hse Luxury Petrol,2995,6,9.17,89.0,1,1846.0,4988.0,2200.0,4,5,388.61,450,7,2922,8937846,SUV
Rolls-Royce Phantom Sedan,6749,12,23.0,100.0,1,1638.0,5842.0,1990.0,5,4,453.71,720,5,3570,95000000,Sed
Rolls-Royce Phantom Ewb,6749,12,23.0,100.0,1,1640.0,6092.0,1990.0,5,4,453.71,720,5,3820,75400000,Sed
Fiat Punto Evo Dynamic 1.2,1172,4,15.7,45.0,1,1525.0,3989.0,1687.0,1,5,67.07,96,5,2510,535562,Hat
Fiat Punto Evo Active Multijet 1.3,1172,4,20.5,45.0,2,1525.0,3989.0,1687.0,1,5,74.96,197,5,2510,631292,Hat
Fiat Punto Evo Dynamic Multijet 1.3,1248,4,20.3,45.0,2,1525.0,3989.0,1687.0,1,5,74.96,197,5,2510,692655,Hat
Fiat Punto Evo Emotion Multijet 1.3,1248,4,21.2,45.0,2,1525.0,3989.0,1687.0,1,5,74.96,197,5,2510,747774,Hat
Toyota Yaris J,1496,4,17.1,42.0,1,1495.0,4425.0,1730.0,5,4,105.54,140,5,2550,940000,Sed
Toyota Yaris G,1496,4,17.1,42.0,1,1495.0,4425.0,1730.0,5,4,105.54,140,5,2550,1055000,Sed
Toyota Yaris V,1498,4,17.1,42.0,1,1495.0,4425.0,1730.0,5,4,105.54,140,5,2550,1174000,Sed
Toyota Yaris Vx Cvt,1496,4,17.8,42.0,1,1495.0,4425.0,1730.0,5,4,105.54,140,5,2550,1418000,Sed
Toyota Yaris G Cvt,1496,4,17.8,42.0,1,1495.0,4425.0,1730.0,5,4,105.54,140,5,2550,1175000,Sed
Toyota Yaris J Cvt,1496,4,17.8,42.0,1,1495.0,4425.0,1730.0,5,4,105.54,140,5,2550,1010000,Sed
Toyota Yaris V Cvt,1496,4,17.8,42.0,1,1495.0,4425.0,1730.0,5,4,105.54,140,5,2550,1294000,Sed
Toyota Yaris Vx,1496,4,17.1,42.0,1,1495.0,4425.0,1730.0,5,4,105.54,140,5,2550,1296000,Sed
Toyota Yaris V (O),1498,4,17.1,42.0,1,1495.0,4425.0,1730.0,5,4,105.54,140,5,2550,1197000,Sed
Toyota Yaris J (O),1496,4,17.1,42.0,1,1495.0,4425.0,1730.0,5,4,105.54,140,5,2550,876000,Sed
Toyota Yaris G (O),1496,4,17.1,42.0,1,1495.0,4425.0,1730.0,5,4,105.54,140,5,2550,974000,Sed
Toyota Yaris J (O) Cvt,1496,4,17.1,42.0,1,1495.0,4425.0,1730.0,5,4,105.54,140,5,2550,935000,Sed
Toyota Yaris G (O) Cvt,1496,4,17.1,42.0,1,1495.0,4425.0,1730.0,5,4,105.54,140,5,2550,1083000,Sed
Toyota Yaris V (O) Cvt,1498,4,17.1,42.0,1,1495.0,4425.0,1730.0,5,4,105.54,140,5,2550,1317000,Sed
Skoda Octavia Ambition 1.4 Tsi,1395,4,16.7,50.0,1,1476.0,4670.0,1814.0,5,4,138.08,250,5,2688,1599599,Sed
Skoda Octavia Ambition 2.0 Tdi Cr,1968,4,21.0,50.0,2,1476.0,4670.0,1814.0,5,4,141.04,320,5,2688,1799599,Sed
Skoda Octavia Style 1.4 Tsi,1395,4,16.7,50.0,1,1476.0,4670.0,1814.0,5,4,138.08,250,5,2688,1899599,Sed
Skoda Octavia Style 1.8 Tsi At,1798,4,15.1,50.0,1,1476.0,4670.0,1814.0,5,4,177.54,250,5,2688,2059599,Sed
Skoda Octavia Style 2.0 Tdi Cr,1968,4,21.0,50.0,2,1476.0,4670.0,1814.0,5,4,141.04,320,5,2688,2079599,Sed
Skoda Octavia Style 2.0 Tdi Cr At,1968,4,19.5,50.0,2,1476.0,4670.0,1814.0,5,4,141.04,320,5,2688,2299599,Sed
Skoda Octavia L & K 1.8 Tsi At,1798,4,15.1,50.0,1,1476.0,4670.0,1814.0,5,4,177.54,250,5,2688,2359599,Sed
Skoda Octavia L & K 2.0 Tdi Cr At,1968,4,19.5,50.0,2,1476.0,4670.0,1814.0,5,4,141.04,320,5,2688,2359599,Sed
Skoda Octavia Corporate Edition 1.4 Tsi,1395,4,16.7,50.0,1,1476.0,4670.0,1814.0,5,4,138.08,250,5,2688,1549000,Sed
Skoda Octavia Corporate Edition 2.0 Tdi,1968,4,21.0,50.0,2,1476.0,4670.0,1814.0,5,4,139.07,320,5,2688,1699000,Sed
Skoda Octavia Onyx 1.8 Tsi Dsg,1798,4,15.1,50.0,1,1476.0,4670.0,1814.0,5,4,177.54,250,5,2688,1999599,Sed
Skoda Octavia Onyx 2.0 Tdi Dsg,1968,4,19.5,50.0,2,1476.0,4670.0,1814.0,5,4,141.04,320,5,2688,2199599,Sed
Mercedes Benz Glc 200 Progressive,1991,4,13.51,66.0,1,1644.0,4658.0,1890.0,4,5,194.31,320,5,2873,5275000,SUV
Mercedes Benz Glc 220D 4Matic Progressive,1950,4,18.18,50.0,2,1644.0,4658.0,1890.0,4,5,191.35,400,5,2873,5775000,SUV
Porsche Cayenne Coupe Base,2995,6,11.6,75.0,1,1676.0,4931.0,2194.0,10,4,335.35,450,4,2895,13151000,"Sed,Cou"
Porsche Cayenne Coupe Turbo,2995,8,15.3,90.0,1,1676.0,4931.0,2194.0,10,4,542.48,770,4,2895,19763000,"Sed,Cou"
Mahindra Verito 1.5 D2,1461,4,21.0,50.0,2,1540.0,4277.0,1740.0,5,4,64.11,160,5,2630,748370,Sed
Mahindra Verito 1.5 D4 Bs-Iv,1461,4,21.0,50.0,2,1540.0,4277.0,1740.0,5,4,64.11,160,5,2630,772617,Sed
Mahindra Verito 1.5 D6 Bs-Iv,1461,4,21.0,50.0,2,1540.0,4277.0,1740.0,5,4,118.36,280,5,2630,845154,Sed
Mitsubishi Pajero Sport 2.5 Mt,2477,4,10.77,70.0,2,1840.0,4695.0,1815.0,4,5,175.56,400,7,2800,2903750,SUV
Mitsubishi Pajero Sport 2.5 At,2477,4,10.77,70.0,2,1840.0,4695.0,1815.0,4,5,175.56,350,7,2800,2835500,SUV
Mitsubishi Pajero Sport Limited Edition,2477,4,10.77,70.0,2,1840.0,4695.0,1815.0,4,5,175.56,400,7,2800,2953240,SUV
Mitsubishi Pajero Sport Select Plus Mt,2477,4,10.77,70.0,2,1840.0,4695.0,1815.0,4,5,175.56,400,7,2800,2992800,SUV
Mitsubishi Pajero Sport Select Plus At,2477,4,10.77,70.0,2,1840.0,4695.0,1815.0,4,5,175.56,350,7,2800,2952500,SUV
Bentley Flying Spur V8,3993,8,4.0,90.0,1,1488.0,5299.0,2207.0,5,4,500.06,660,4,3066,34167064,Sed
Bentley Flying Spur W12,5998,12,4.0,90.0,1,1488.0,5299.0,2207.0,5,4,607.57,800,4,3066,39382083,Sed
Honda City Sv Mt Petrol,1497,4,17.4,40.0,1,1495.0,4440.0,1695.0,5,4,117.37,145,5,2600,991000,Sed
Honda City V Mt Petrol,1497,4,17.8,40.0,1,1495.0,4440.0,1695.0,5,4,117.37,145,5,2600,1065900,Sed
Honda City Vx Mt Petrol,1497,4,17.4,40.0,1,1495.0,4440.0,1695.0,5,4,117.37,145,5,2600,1182000,Sed
Honda City Vx Cvt Petrol,1497,4,18.0,40.0,1,1495.0,4440.0,1695.0,5,4,117.37,145,5,2600,1312000,Sed
Honda City Sv Mt Diesel,1498,4,25.6,40.0,2,1495.0,4440.0,1695.0,5,4,98.63,200,5,2600,1111000,Sed
Honda City V Mt Diesel,1498,4,25.6,40.0,2,1495.0,4440.0,1695.0,5,4,98.63,200,5,2600,1191000,Sed
Honda City Vx Mt Diesel,1498,4,25.1,40.0,2,1495.0,4440.0,1695.0,5,4,98.63,200,5,2600,1302000,Sed
Honda City Zx Mt Diesel,1498,4,25.1,40.0,2,1495.0,4440.0,1695.0,5,4,98.63,200,5,2600,1421000,Sed
Honda City Zx Cvt Petrol,1497,4,22.6,40.0,1,1495.0,4440.0,1695.0,5,4,117.37,145,5,2600,1431000,Sed
Honda City V Cvt Petrol,1497,4,17.8,40.0,1,1495.0,4440.0,1695.0,5,4,117.37,145,5,2600,1201000,Sed
Mitsubishi Montero 3.2 At,3200,4,11.56,88.0,2,1900.0,4900.0,1875.0,4,5,199.24,441,7,2780,6862560,SUV
