,Make,Model,Variant,Car,Ex-Showroom_Price,Displacement,Cylinders,Drivetrain,ARAI_Certified_Mileage,Fuel_System,Fuel_Type,Body_Type,Doors,Power,Torque,Seating_Capacity,Seats_Material,Type,Wheelbase,Start_/_Stop_Button,Ventilation_System,Number_of_Airbags,Parking_Assistance,Infotainment_Screen
0,Tata,Nano Genx,Xt,Tata Nano Genx Xt,292667,624 cc,2.0,RWD (Rear Wheel Drive),23.6,Injection,Petrol,Hatchback,5.0,38PS@5500rpm,51Nm@4000rpm,4.0,Fabric,Manual,2230 mm,Yes,Manual Air conditioning with cooling and heating,,,
1,Tata,Nano Genx,Xe,Tata Nano Genx Xe,236447,624 cc,2.0,RWD (Rear Wheel Drive),23.6,Injection,Petrol,Hatchback,5.0,38PS@5500rpm,51Nm@4000rpm,4.0,Fabric,Manual,2230 mm,,,,,
3,Tata,Nano Genx,Xta,Tata Nano Genx Xta,334768,624 cc,2.0,RWD (Rear Wheel Drive),21.9,Injection,Petrol,Hatchback,5.0,38PS@5500rpm,51Nm@4000rpm,4.0,Fabric,Automatic,2230 mm,Yes,Manual Air conditioning with cooling and heating,,,
4,Tata,Nano Genx,Xm,Tata Nano Genx Xm,272223,624 cc,2.0,RWD (Rear Wheel Drive),23.6,Injection,Petrol,Hatchback,5.0,38PS@5500rpm,51Nm@4000rpm,4.0,Fabric,Manual,2230 mm,,Air Conditioning with cooling only,,,
5,Tata,Nano Genx,Xma,Tata Nano Genx Xma,314815,624 cc,2.0,RWD (Rear Wheel Drive),21.9,Injection,Petrol,Hatchback,5.0,38PS@5500rpm,51Nm@4000rpm,4.0,Fabric,Automatic,2230 mm,,Air Conditioning with cooling only,,,
6,Datsun,Redi-Go,D,Datsun Redi-Go D,279650,799 cc,3.0,FWD (Front Wheel Drive),25.17,Injection,Petrol,Hatchback,5.0,54PS@5678rpm,72Nm@4386rpm,5.0,Fabric,Manual,2348 mm,,Yes,,,
7,Datsun,Redi-Go,T,Datsun Redi-Go T,351832,799 cc,3.0,FWD (Front Wheel Drive),25.17,Injection,Petrol,Hatchback,5.0,54PS@5678rpm,72Nm@4386rpm,5.0,Fabric,Manual,2348 mm,,Manual Air conditioning with cooling and heating,,,
8,Datsun,Redi-Go,A,Datsun Redi-Go A,333419,799 cc,3.0,FWD (Front Wheel Drive),25.17,Injection,Petrol,Hatchback,5.0,54PS@5678rpm,72Nm@4386rpm,5.0,Fabric,Manual,2348 mm,,Manual Air conditioning with cooling and heating,,,
9,Datsun,Redi-Go,S,Datsun Redi-Go S,362000,799 cc,3.0,FWD (Front Wheel Drive),25.17,Injection,Petrol,Hatchback,5.0,54PS@5678rpm,72Nm@4386rpm,5.0,Fabric,Manual,2348 mm,,Manual Air conditioning with cooling and heating,,Rear sensors,
10,Datsun,Redi-Go,1.0 S,Datsun Redi-Go 1.0 S,390000,999 cc,3.0,FWD (Front Wheel Drive),22.5,Injection,Petrol,Hatchback,5.0,68PS@5500rpm,91Nm@4250RPM,5.0,Fabric,Manual,2348 mm,,Air Conditioning with cooling only,,,
11,Datsun,Redi-Go,1.0 S Amt,Datsun Redi-Go 1.0 S Amt,437065,999 cc,3.0,FWD (Front Wheel Drive),23.0,Injection,Petrol,Hatchback,5.0,68PS@5500rpm,91Nm@4250RPM,5.0,Fabric,Automatic,2348 mm,,Manual Air conditioning with cooling and heating,,Rear sensors,
12,Renault,Kwid,Rxe 0.8,Renault Kwid Rxe 0.8,353290,799 cc,3.0,FWD (Front Wheel Drive),25.17,Injection,Petrol,Hatchback,5.0,54PS@5678rpm,72Nm@4386rpm,5.0,Fabric,Manual,2422 mm,,Manual Air conditioning with cooling and heating,1.0,,
13,Renault,Kwid,Std 0.8,Renault Kwid Std 0.8,283290,799 cc,3.0,FWD (Front Wheel Drive),25.17,Injection,Petrol,Hatchback,5.0,54PS@5678rpm,72Nm@4386rpm,5.0,Fabric,Manual,2442 mm,,Heater,1.0,,
14,Renault,Kwid,Rxl 0.8,Renault Kwid Rxl 0.8,383290,799 cc,3.0,FWD (Front Wheel Drive),25.17,Injection,Petrol,Hatchback,5.0,54PS@5678rpm,72Nm@4386rpm,5.0,Fabric,Manual,2422 mm,,Manual Air conditioning with cooling and heating,1.0,,
15,Renault,Kwid,Rxt 0.8,Renault Kwid Rxt 0.8,413290,799 cc,3.0,FWD (Front Wheel Drive),25.17,Injection,Petrol,Hatchback,5.0,54PS@5678rpm,72Nm@4386rpm,5.0,Fabric,Manual,2422 mm,,Manual Air conditioning with cooling and heating,1.0,,Touch Sensitive
16,Renault,Kwid,Rxt 1.0,Renault Kwid Rxt 1.0,433290,999 cc,3.0,FWD (Front Wheel Drive),23.01,Injection,Petrol,Hatchback,5.0,68PS@5500rpm,91Nm@4250RPM,5.0,Fabric,Manual,2422 mm,,Manual Air conditioning with cooling and heating,1.0,Rear sensors with camera,Touch Sensitive
17,Renault,Kwid,Climber 1.0 Mt,Renault Kwid Climber 1.0 Mt,454490,999 cc,3.0,FWD (Front Wheel Drive),23.01,Injection,Petrol,Hatchback,5.0,68PS@5500rpm,91Nm@4250RPM,5.0,Fabric,Manual,2422 mm,,Manual Air conditioning with cooling and heating,1.0,Rear sensors with camera,Touch Sensitive
18,Renault,Kwid,Rxt Amt 1.0,Renault Kwid Rxt Amt 1.0,463290,999 cc,3.0,FWD (Front Wheel Drive),24.04,Injection,Petrol,Hatchback,5.0,68PS@5500rpm,91Nm@4250RPM,5.0,Fabric,Automatic,2422 mm,,Manual Air conditioning with cooling and heating,1.0,Rear sensors with camera,Touch Sensitive
19,Renault,Kwid,Climber Amt 1.0,Renault Kwid Climber Amt 1.0,484490,999 cc,3.0,FWD (Front Wheel Drive),24.04,Injection,Petrol,Hatchback,5.0,68PS@5500rpm,91Nm@4250RPM,5.0,Fabric,Automatic,2422 mm,,Manual Air conditioning with cooling and heating,1.0,Rear sensors with camera,Touch Sensitive
20,Renault,Kwid,Rxt (O) 1.0,Renault Kwid Rxt (O) 1.0,440990,999 cc,3.0,FWD (Front Wheel Drive),23.01,Injection,Petrol,Hatchback,5.0,68PS@5500rpm,91Nm@4250RPM,5.0,Fabric,Manual,2422 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors with camera,Touch Sensitive
21,Renault,Kwid,Rxt (O) Amt 1.0,Renault Kwid Rxt (O) Amt 1.0,470990,999 cc,3.0,FWD (Front Wheel Drive),23.01,Injection,Petrol,Hatchback,5.0,68PS@5500rpm,91Nm@4250RPM,5.0,Fabric,Automatic,2422 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors with camera,Touch Sensitive
22,Renault,Kwid,Climber (O) Mt 1.0,Renault Kwid Climber (O) Mt 1.0,462190,999 cc,3.0,FWD (Front Wheel Drive),23.01,Injection,Petrol,Hatchback,5.0,68PS@5500rpm,91Nm@4250RPM,5.0,Fabric,Manual,2422 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors with camera,Touch Sensitive
23,Renault,Kwid,Climber (O) Amt 1.0,Renault Kwid Climber (O) Amt 1.0,492190,999 cc,3.0,FWD (Front Wheel Drive),24.04,Injection,Petrol,Hatchback,5.0,68PS@5500rpm,91Nm@4250RPM,5.0,Fabric,Automatic,2422 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors with camera,Touch Sensitive
24,Maruti Suzuki,Eeco,5 Str,Maruti Suzuki Eeco 5 Str,352136,1196 cc,4.0,RWD (Rear Wheel Drive),15.0,Injection,Petrol,MPV,5.0,73PS@6000rpm,101Nm@3000rpm,5.0,Fabric,Manual,2350 mm,,,1.0,Rear sensors,
25,Maruti Suzuki,Eeco,7 Str,Maruti Suzuki Eeco 7 Str,380573,1196 cc,4.0,FWD (Front Wheel Drive),15.0,Injection,Petrol,MPV,5.0,74PS@6000RPM,101Nm@3000rpm,7.0,Fabric,Manual,2350 mm,,,1.0,Rear sensors,
26,Maruti Suzuki,Eeco,5 Str With Ac+Htr,Maruti Suzuki Eeco 5 Str With Ac+Htr,392967,1196 cc,4.0,RWD (Rear Wheel Drive),15.0,Injection,Petrol,MPV,5.0,73PS@6000rpm,101Nm@3000rpm,5.0,Fabric,Manual,2350 mm,,Manual Air conditioning with cooling and heating,,,
29,Maruti Suzuki,Alto K10,Lxi,Maruti Suzuki Alto K10 Lxi,377588,998 cc,3.0,FWD (Front Wheel Drive),24.07,Injection,Petrol,Hatchback,5.0,68PS@6000rpm,90Nm@3500rpm,5.0,Fabric,Manual,2360 mm,,Manual Air conditioning with cooling and heating,1.0,,
30,Maruti Suzuki,Alto K10,Vxi,Maruti Suzuki Alto K10 Vxi,394036,998 cc,3.0,FWD (Front Wheel Drive),24.07,Injection,Petrol,Hatchback,5.0,68PS@6200rpm,90Nm@3500rpm,5.0,Fabric,Manual,2360 mm,,Manual Air conditioning with cooling and heating,1.0,,
31,Maruti Suzuki,Alto K10,Lx,Maruti Suzuki Alto K10 Lx,360843,998 cc,3.0,FWD (Front Wheel Drive),24.07,Injection,Petrol,Hatchback,5.0,68PS@6000rpm,90Nm@3500rpm,5.0,Fabric,Manual,2360 mm,,Manual Air conditioning with cooling and heating,1.0,,
32,Maruti Suzuki,Alto K10,Vxi (O),Maruti Suzuki Alto K10 Vxi (O),407238,998 cc,3.0,FWD (Front Wheel Drive),24.07,Injection,Petrol,Hatchback,5.0,68PS@6000rpm,90Nm@3500rpm,5.0,Fabric,Manual,2360 mm,,Manual Air conditioning with cooling and heating,1.0,,
34,Maruti Suzuki,Alto K10,Vxi Amt (O),Maruti Suzuki Alto K10 Vxi Amt (O),438559,998 cc,3.0,FWD (Front Wheel Drive),24.07,Injection,Petrol,Hatchback,5.0,68PS@6000rpm,90Nm@3500rpm,5.0,Fabric,Automatic,2360 mm,,Manual Air conditioning with cooling and heating,1.0,,
35,Datsun,Go,D,Datsun Go D,374990,1198 cc,3.0,FWD (Front Wheel Drive),20.1,Injection,Petrol,Hatchback,5.0,68PS@5000rpm,104Nm@4000rpm,5.0,Fabric,Manual,2450 mm,,Heater,2.0,Rear sensors,
36,Datsun,Go,T,Datsun Go T,468229,1198 cc,3.0,FWD (Front Wheel Drive),20.1,Injection,Petrol,Hatchback,5.0,68PS@5000rpm,104Nm@4000rpm,5.0,Fabric,Manual,2450 mm,,"Heater, Manual Air conditioning with cooling and heating",2.0,Rear sensors,
37,Datsun,Go,T (O),Datsun Go T (O),502492,1198 cc,3.0,FWD (Front Wheel Drive),20.1,Injection,Petrol,Hatchback,5.0,68PS@5000rpm,104Nm@4000rpm,5.0,Fabric,Manual,2450 mm,,"Heater, Manual Air conditioning with cooling and heating",2.0,Rear sensors,
38,Datsun,Go,A (O),Datsun Go A (O),499990,1198 cc,3.0,FWD (Front Wheel Drive),20.1,Injection,Petrol,Hatchback,5.0,68PS@5000rpm,104Nm@4000rpm,5.0,Fabric,Manual,2450 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,
39,Datsun,Go,A,Datsun Go A,469990,1198 cc,3.0,FWD (Front Wheel Drive),20.1,Injection,Petrol,Hatchback,5.0,68PS@5000rpm,104Nm@4000rpm,5.0,Fabric,Manual,2450 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,
40,Datsun,Go,T Vdc,Datsun Go T Vdc,528464,1198 cc,3.0,FWD (Front Wheel Drive),20.1,Injection,Petrol,Hatchback,5.0,68PS@5000rpm,104Nm@4000rpm,5.0,Fabric,Manual,2450 mm,,"Heater, Manual Air conditioning with cooling and heating",2.0,Rear sensors,
41,Datsun,Go,T (O) Vdc,Datsun Go T (O) Vdc,553015,1198 cc,3.0,FWD (Front Wheel Drive),20.1,Injection,Petrol,Hatchback,5.0,68PS@5000rpm,104Nm@4000rpm,5.0,Fabric,Manual,2450 mm,,"Heater, Manual Air conditioning with cooling and heating",2.0,Rear sensors,
42,Datsun,Go,T Cvt,Datsun Go T Cvt,594464,1198 cc,3.0,FWD (Front Wheel Drive),20.1,Injection,Petrol,Hatchback,5.0,78PS@5000rpm,104Nm@4000rpm,5.0,Fabric,Manual,2450 mm,,"Heater, Manual Air conditioning with cooling and heating",2.0,Rear sensors,
43,Datsun,Go,T (O) Cvt,Datsun Go T (O) Cvt,618015,1198 cc,3.0,FWD (Front Wheel Drive),20.1,Injection,Petrol,Hatchback,5.0,78PS@5000rpm,104Nm@4000rpm,5.0,Fabric,Manual,2450 mm,,"Heater, Manual Air conditioning with cooling and heating",2.0,Rear sensors,Touch Sensitive
44,Maruti Suzuki,Celerio Tour,H2,Maruti Suzuki Celerio Tour H2,422444,998 cc,3.0,FWD (Front Wheel Drive),23.1,Injection,Petrol,Hatchback,5.0,68PS@6000rpm,90Nm@3500rpm,5.0,Fabric,Manual,2425 mm,,Manual Air conditioning with cooling and heating,2.0,,
46,Hyundai,Santro,Era Mt,Hyundai Santro Era Mt,429990,1086 cc,4.0,FWD (Front Wheel Drive),20.3,Injection,Petrol,Hatchback,4.0,69PS@5500rpm,99.04nm@4500RPM,5.0,Fabric,Manual,2400 mm,,Manual Air conditioning with cooling and heating,1.0,,
47,Hyundai,Santro,Magna Mt,Hyundai Santro Magna Mt,503990,1086 cc,4.0,FWD (Front Wheel Drive),20.3,Injection,Petrol,Hatchback,4.0,69PS@5500rpm,99.04nm@4500RPM,5.0,Fabric,Manual,2400 mm,,Manual Air conditioning with cooling and heating,1.0,,
49,Hyundai,Santro,Magna Amt,Hyundai Santro Magna Amt,530990,1086 cc,4.0,FWD (Front Wheel Drive),20.3,Injection,Petrol,Hatchback,4.0,69PS@5500rpm,10.1kgm@4500RPM,5.0,Fabric,AMT,2400 mm,,Manual Air conditioning with cooling and heating,1.0,,Yes
50,Hyundai,Santro,Sportz Mt,Hyundai Santro Sportz Mt,512990,1086 cc,4.0,FWD (Front Wheel Drive),20.3,Injection,Petrol,Hatchback,4.0,69PS@5500rpm,10.1kgm@4500RPM,5.0,Fabric,Manual,2400 mm,,Manual Air conditioning with cooling and heating,1.0,,Touch Sensitive
52,Hyundai,Santro,Sportz Amt,Hyundai Santro Sportz Amt,570990,1086 cc,4.0,FWD (Front Wheel Drive),20.3,Injection,Petrol,Hatchback,4.0,69PS@5500rpm,10.1kgm@4500RPM,5.0,Fabric,AMT,2400 mm,,Manual Air conditioning with cooling and heating,1.0,,Touch Sensitive
53,Hyundai,Santro,Asta Mt,Hyundai Santro Asta Mt,556490,1086 cc,4.0,FWD (Front Wheel Drive),20.3,Injection,Petrol,Hatchback,4.0,69PS@5500rpm,99.04nm@4500RPM,5.0,Fabric,Manual,2400 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors with camera,Touch Sensitive
54,Tata,Tiago,Revotron Xe,Tata Tiago Revotron Xe,460000,1199 cc,3.0,FWD (Front Wheel Drive),23.0,Injection,Petrol,Hatchback,5.0,86PS@6000rpm,114NM@3300rpm,5.0,Fabric,Manual,2400 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,
55,Tata,Tiago,Revotron Xt,Tata Tiago Revotron Xt,520000,1199 cc,3.0,FWD (Front Wheel Drive),23.0,Injection,Petrol,Hatchback,5.0,86PS@6000rpm,114NM@3300rpm,5.0,Fabric,Manual,2400 mm,,Manual Air conditioning with cooling and heating,2.0,Front and rear sensors with camera,Touch Sensitive
56,Tata,Tiago,Revotron Xz,Tata Tiago Revotron Xz,570000,1199 cc,3.0,FWD (Front Wheel Drive),23.0,Injection,Petrol,Hatchback,5.0,86PS@6000rpm,114NM@3300rpm,5.0,Fabric,Manual,2400 mm,,Manual Air conditioning with cooling and heating,2.0,Front and rear sensors with camera,Touch Sensitive
57,Tata,Tiago,Revotron Xz Plus,Tata Tiago Revotron Xz Plus,599000,1199 cc,3.0,FWD (Front Wheel Drive),23.0,Injection,Petrol,Hatchback,5.0,86PS@6000rpm,114NM@3300rpm,5.0,Fabric,Manual,2400 mm,,Manual Air conditioning with cooling and heating,2.0,Front and rear sensors with camera,Touch Sensitive
58,Tata,Tiago,Revotron Xz Plus Dual Tone,Tata Tiago Revotron Xz Plus Dual Tone,610000,1199 cc,3.0,FWD (Front Wheel Drive),23.0,Injection,Petrol,Hatchback,5.0,86PS@6000rpm,114NM@3300rpm,5.0,Fabric,Manual,2400 mm,,Manual Air conditioning with cooling and heating,2.0,Front and rear sensors with camera,Touch Sensitive
59,Tata,Tiago,Revotron Xza,Tata Tiago Revotron Xza,620000,1199 cc,3.0,FWD (Front Wheel Drive),24.0,Injection,Petrol,Hatchback,5.0,86PS@6000rpm,114NM@3300rpm,5.0,Fabric,AMT,2400 mm,,Fully automatic climate control,2.0,Rear sensors with camera,Touch Sensitive
60,Tata,Tiago,Revotron Xza Plus,Tata Tiago Revotron Xza Plus,649000,1199 cc,3.0,FWD (Front Wheel Drive),24.0,Injection,Petrol,Hatchback,5.0,86PS@6000rpm,114NM@3300rpm,5.0,Fabric,AMT,2400 mm,,Fully automatic climate control,2.0,Rear sensors with camera,Touch Sensitive
61,Tata,Tiago,Revotron Xza Plus Dual Tone,Tata Tiago Revotron Xza Plus Dual Tone,660000,1199 cc,3.0,FWD (Front Wheel Drive),24.0,Injection,Petrol,Hatchback,5.0,86PS@6000rpm,114NM@3300rpm,5.0,Fabric,AMT,2400 mm,,Fully automatic climate control,2.0,Rear sensors with camera,Touch Sensitive
62,Maruti Suzuki,Celerio X,Vxi (O),Maruti Suzuki Celerio X Vxi (O),481074,998 cc,3.0,FWD (Front Wheel Drive),23.1,Injection,Petrol,Hatchback,5.0,68PS@6000rpm,90Nm@3500rpm,5.0,Fabric,Manual,2425 mm,,Manual Air conditioning with cooling and heating,2.0,,
63,Maruti Suzuki,Celerio X,Vxi,Maruti Suzuki Celerio X Vxi,475198,998 cc,3.0,FWD (Front Wheel Drive),23.1,Injection,Petrol,Hatchback,5.0,68PS@6000rpm,90Nm@3500rpm,5.0,Fabric,Manual,2425 mm,,Manual Air conditioning with cooling and heating,1.0,,
64,Maruti Suzuki,Celerio X,Vxi Amt,Maruti Suzuki Celerio X Vxi Amt,518198,998 cc,3.0,FWD (Front Wheel Drive),23.1,Injection,Petrol,Hatchback,5.0,68PS@6000rpm,90Nm@3500rpm,5.0,Fabric,Automatic,2425 mm,,Manual Air conditioning with cooling and heating,1.0,,
65,Maruti Suzuki,Celerio X,Vxi Amt (O),Maruti Suzuki Celerio X Vxi Amt (O),524074,998 cc,3.0,FWD (Front Wheel Drive),23.1,Injection,Petrol,Hatchback,5.0,68PS@6000rpm,90Nm@3500rpm,5.0,Fabric,Automatic,2425 mm,,Manual Air conditioning with cooling and heating,2.0,,
66,Maruti Suzuki,Celerio X,Zxi,Maruti Suzuki Celerio X Zxi,499734,998 cc,3.0,FWD (Front Wheel Drive),23.1,Injection,Petrol,Hatchback,5.0,68PS@6000rpm,90Nm@3500rpm,5.0,Fabric,Manual,2425 mm,,Manual Air conditioning with cooling and heating,1.0,,
67,Maruti Suzuki,Celerio X,Zxi (O),Maruti Suzuki Celerio X Zxi (O),540350,998 cc,3.0,FWD (Front Wheel Drive),23.1,Injection,Petrol,Hatchback,5.0,68PS@6000rpm,90Nm@3500rpm,5.0,Fabric,Manual,2425 mm,,Manual Air conditioning with cooling and heating,2.0,,
68,Maruti Suzuki,Celerio X,Zxi Amt,Maruti Suzuki Celerio X Zxi Amt,542735,998 cc,3.0,FWD (Front Wheel Drive),23.1,Injection,Petrol,Hatchback,5.0,68PS@6000rpm,90Nm@3500rpm,5.0,Fabric,Automatic,2425 mm,,Manual Air conditioning with cooling and heating,1.0,,
69,Maruti Suzuki,Celerio X,Zxi Amt (O),Maruti Suzuki Celerio X Zxi Amt (O),552350,998 cc,3.0,FWD (Front Wheel Drive),23.1,Injection,Petrol,Hatchback,5.0,68PS@6000rpm,90Nm@3500rpm,5.0,Fabric,Automatic,2425 mm,,Manual Air conditioning with cooling and heating,2.0,,
70,Maruti Suzuki,Ignis,Alpha 1.2 Amt,Maruti Suzuki Ignis Alpha 1.2 Amt,713898,1197 cc,4.0,FWD (Front Wheel Drive),20.89,Injection,Petrol,Hatchback,5.0,83PS@6000rpm,113Nm@4200RPM,5.0,Fabric,AMT,2435 mm,Yes,"Heater, Fully automatic climate control",2.0,Rear sensors with camera,Yes
71,Maruti Suzuki,Ignis,Alpha 1.2 Mt,Maruti Suzuki Ignis Alpha 1.2 Mt,666898,1197 cc,4.0,FWD (Front Wheel Drive),20.89,Injection,Petrol,Hatchback,5.0,83PS@6000rpm,113Nm@4200RPM,5.0,Fabric,Manual,2435 mm,Yes,"Heater, Fully automatic climate control",2.0,Rear sensors with camera,Yes
72,Maruti Suzuki,Ignis,Delta 1.2 Amt,Maruti Suzuki Ignis Delta 1.2 Amt,607841,1197 cc,4.0,FWD (Front Wheel Drive),20.89,Injection,Petrol,Hatchback,5.0,83PS@6000rpm,113Nm@4200RPM,5.0,Fabric,AMT,2435 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,
73,Maruti Suzuki,Ignis,Delta 1.2 Mt,Maruti Suzuki Ignis Delta 1.2 Mt,560841,1197 cc,4.0,FWD (Front Wheel Drive),20.89,Injection,Petrol,Hatchback,5.0,83PS@6000rpm,113Nm@4200RPM,5.0,Fabric,Manual,2435 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,
74,Maruti Suzuki,Ignis,Sigma 1.2 Mt,Maruti Suzuki Ignis Sigma 1.2 Mt,483320,1197 cc,4.0,FWD (Front Wheel Drive),20.89,Injection,Petrol,Hatchback,5.0,83PS@6000rpm,113Nm@4200RPM,5.0,Fabric,Manual,2435 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,
75,Maruti Suzuki,Ignis,Zeta 1.2 Amt,Maruti Suzuki Ignis Zeta 1.2 Amt,630320,1197 cc,4.0,FWD (Front Wheel Drive),20.89,Injection,Petrol,Hatchback,5.0,83PS@6000rpm,113Nm@4200RPM,5.0,Fabric,AMT,2435 mm,Yes,Manual Air conditioning with cooling and heating,2.0,Rear sensors,Touch Sensitive
76,Maruti Suzuki,Ignis,Zeta 1.2 Mt,Maruti Suzuki Ignis Zeta 1.2 Mt,583320,1197 cc,4.0,FWD (Front Wheel Drive),20.89,Injection,Petrol,Hatchback,5.0,83PS@6000rpm,113Nm@4200RPM,5.0,Fabric,Manual,2435 mm,Yes,Manual Air conditioning with cooling and heating,2.0,Rear sensors,Touch Sensitive
77,Renault,Triber,Rxe,Renault Triber Rxe,495000,999 cc,3.0,FWD (Front Wheel Drive),20.5,Injection,Petrol,MUV,5.0,72PS@62050rpm,96Nm@3500rpm,7.0,Fabric,Manual,2636 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,
78,Renault,Triber,Rxl,Renault Triber Rxl,559000,999 cc,3.0,FWD (Front Wheel Drive),20.5,Injection,Petrol,MUV,5.0,72PS@62050rpm,96Nm@3500rpm,7.0,Fabric,Manual,2636 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,
79,Renault,Triber,Rxt,Renault Triber Rxt,609000,999 cc,3.0,FWD (Front Wheel Drive),20.5,Injection,Petrol,MUV,5.0,72PS@62050rpm,96Nm@3500rpm,7.0,Fabric,Manual,2636 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,
80,Renault,Triber,Rxz,Renault Triber Rxz,663000,999 cc,3.0,FWD (Front Wheel Drive),20.5,Injection,Petrol,MUV,5.0,72PS@62050rpm,96Nm@3500rpm,7.0,Fabric,Manual,2636 mm,Yes,Fully automatic climate control,4.0,Rear sensors with camera,
81,Premier,Rio,Gx,Premier Rio Gx,506000,1173 cc,4.0,FWD (Front Wheel Drive),16.0,Injection,Petrol,SUV,5.0,76.6PS@5800rpm,103.9Nm@3500-4250rpm,5.0,Fabric,Manual,2420 mm,,Manual Air conditioning with cooling and heating,,,
82,Premier,Rio,Ex,Premier Rio Ex,568623,1489 cc,4.0,FWD (Front Wheel Drive),16.0,Injection,Diesel,SUV,5.0,64PS@4000rpm,152Nm@2500RPM,5.0,Fabric,Manual,2420 mm,,,,Rear sensors with camera,
83,Premier,Rio,Glx,Premier Rio Glx,670000,1173 cc,4.0,FWD (Front Wheel Drive),16.0,Injection,Petrol,SUV,5.0,76.6PS@5800rpm,103.9Nm@3500-4250rpm,5.0,Fabric,Manual,2420 mm,,Manual Air conditioning with cooling and heating,,,
84,Premier,Rio,Dx,Premier Rio Dx,603000,1489 cc,4.0,FWD (Front Wheel Drive),16.0,Injection,Diesel,SUV,5.0,64PS@4000rpm,152Nm@2250RPM,5.0,Fabric,Manual,2420 mm,,Manual Air conditioning with cooling and heating,,,
85,Premier,Rio,Lx,Premier Rio Lx,739000,1489 cc,4.0,FWD (Front Wheel Drive),16.0,Injection,Diesel,SUV,5.0,64PS@4000rpm,152Nm@2250RPM,5.0,Fabric,Manual,2420 mm,,Manual Air conditioning with cooling and heating,,,
86,Premier,Rio,Crdi4,Premier Rio Crdi4,739000,1248 cc,4.0,FWD (Front Wheel Drive),23.7,Injection,Diesel,SUV,5.0,72PS@4000rpm,183Nm@1800-2400rpm,5.0,Fabric,Manual,2420 mm,,Manual Air conditioning with cooling and heating,,,
87,Toyota,Etios Liva,G,Toyota Etios Liva G,520300,1197 cc,4.0,FWD (Front Wheel Drive),18.16,Injection,Petrol,Hatchback,5.0,80PS@5600rpm,104Nm@3100rpm,5.0,Fabric,Manual,2460 mm,,Manual Air conditioning with cooling and heating,2.0,,
88,Toyota,Etios Liva,V,Toyota Etios Liva V,581000,1197 cc,4.0,FWD (Front Wheel Drive),18.16,Injection,Petrol,Hatchback,5.0,80PS@5600rpm,104Nm@3100rpm,5.0,Fabric,Manual,2460 mm,,Manual Air conditioning with cooling and heating,2.0,,
89,Toyota,Etios Liva,Gd,Toyota Etios Liva Gd,647800,1364 cc,4.0,FWD (Front Wheel Drive),23.59,Injection,Diesel,Hatchback,5.0,68PS@3800rpm,170Nm@1800-2400rpm,5.0,Fabric,Manual,2460 mm,,Manual Air conditioning with cooling and heating,2.0,,
90,Toyota,Etios Liva,Vx,Toyota Etios Liva Vx,630000,1197 cc,4.0,FWD (Front Wheel Drive),18.16,Injection,Petrol,Hatchback,5.0,80PS@5600rpm,104Nm@3100rpm,5.0,Fabric,Manual,2460 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,
91,Toyota,Etios Liva,Vxd,Toyota Etios Liva Vxd,745000,1364 cc,4.0,FWD (Front Wheel Drive),23.59,Injection,Diesel,Hatchback,5.0,68PS@3800rpm,170Nm@1800-2400rpm,5.0,Fabric,Manual,2460 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,
92,Toyota,Etios Liva,Vd,Toyota Etios Liva Vd,704000,1364 cc,4.0,FWD (Front Wheel Drive),23.59,Injection,Diesel,Hatchback,5.0,68PS@3800rpm,170Nm@1800-2400rpm,5.0,Fabric,Manual,2460 mm,,Manual Air conditioning with cooling and heating,2.0,,
93,Toyota,Etios Liva,Dual Tone V,Toyota Etios Liva Dual Tone V,597700,1197 cc,4.0,FWD (Front Wheel Drive),18.16,Injection,Petrol,Hatchback,5.0,80PS@5600rpm,104Nm@3100rpm,5.0,Fabric,Manual,2460 mm,,Manual Air conditioning with cooling and heating,2.0,,
94,Toyota,Etios Liva,Dual Tone Vd,Toyota Etios Liva Dual Tone Vd,720700,1364 cc,4.0,FWD (Front Wheel Drive),23.59,Injection,Diesel,Hatchback,5.0,68PS@3800rpm,170Nm@1800-2400rpm,5.0,Fabric,Manual,2460 mm,,Manual Air conditioning with cooling and heating,2.0,,
95,Toyota,Etios Liva,Dual Tone Vx,Toyota Etios Liva Dual Tone Vx,641700,1197 cc,4.0,FWD (Front Wheel Drive),18.16,Injection,Petrol,Hatchback,5.0,80PS@5600rpm,104Nm@3100rpm,5.0,Fabric,Manual,2460 mm,,Manual Air conditioning with cooling and heating,2.0,Rear sensors,
