,Make,Model,Variant,Car,Ex-Showroom_Price,Displacement,Cylinders,Drivetrain,ARAI_Certified_Mileage,Fuel_System,Fuel_Type,Body_Type,Doors,Power,Torque,Seating_Capacity,Seats_Material,Type,Wheelbase,Start_/_Stop_Button,Ventilation_System,Number_of_Airbags,Parking_Assistance,Infotainment_Screen
1097,Maruti Suzuki,Ciaz,1.5L Delta At Smart Hybrid,Maruti Suzuki Ciaz 1.5L Delta At Smart Hybrid,980689,1462 cc,4.0,FWD (Front Wheel Drive),20.28,Injection,Petrol,Sedan,4.0,103Bhp@6000rpm,138Nm@4400rpm,5.0,Fabric,Automatic,2650 mm,,Fully automatic climate control,2.0,Rear sensors,
1098,Maruti Suzuki,Ciaz,1.5L Zeta At Smart Hybrid,Maruti Suzuki Ciaz 1.5L Zeta At Smart Hybrid,1058688,1462 cc,4.0,FWD (Front Wheel Drive),20.28,Injection,Petrol,Sedan,4.0,103Bhp@6000rpm,138Nm@4400rpm,5.0,Leather,Automatic,2650 mm,Yes,Fully automatic climate control,2.0,Rear sensors with camera,Yes
1099,Maruti Suzuki,Ciaz,1.5L Alpha At Smart Hybrid,Maruti Suzuki Ciaz 1.5L Alpha At Smart Hybrid,1098689,1462 cc,4.0,FWD (Front Wheel Drive),20.28,Injection,Petrol,Sedan,4.0,103Bhp@6000rpm,138Nm@4400rpm,5.0,Leather,Automatic,2650 mm,Yes,Fully automatic climate control,2.0,Rear sensors with camera,Touch Sensitive
1100,Maruti Suzuki,Ciaz,1.5L Alpha,Maruti Suzuki Ciaz 1.5L Alpha,1138189,1498 cc,4.0,FWD (Front Wheel Drive),26.82,Injection,Diesel,Sedan,4.0,94Bhp@4000RPM,225Nm@1500-2250rpm,5.0,Leather,Manual,2650 mm,Yes,Fully automatic climate control,2.0,Rear sensors with camera,Touch Sensitive
1101,Maruti Suzuki,Ciaz,1.5L Delta,Maruti Suzuki Ciaz 1.5L Delta,997689,1498 cc,4.0,FWD (Front Wheel Drive),26.32,Injection,Diesel,Sedan,4.0,94Bhp@4000RPM,225Nm@1500-2250rpm,5.0,Fabric,Manual,2650 mm,,Fully automatic climate control,2.0,Rear sensors,
1102,Maruti Suzuki,Ciaz,1.5L Zeta,Maruti Suzuki Ciaz 1.5L Zeta,1109189,1498 cc,4.0,FWD (Front Wheel Drive),26.32,Injection,Diesel,Sedan,4.0,94Bhp@4000RPM,225Nm@1500-2250rpm,5.0,Fabric,Manual,2650 mm,Yes,Fully automatic climate control,2.0,Rear sensors with camera,Yes
1103,Skoda,Rapid,1.6 Mpi Ambition,Skoda Rapid 1.6 Mpi Ambition,998599,1598 cc,4.0,FWD (Front Wheel Drive),15.41,Injection,Petrol,Sedan,4.0,105PS@5250rpm,153Nm@3750-3800rpm,5.0,Fabric,Manual,2552 mm,,Fully automatic climate control,2.0,Rear sensors,
1104,Skoda,Rapid,1.5 Tdi Cr Active,Skoda Rapid 1.5 Tdi Cr Active,1006139,1498 cc,4.0,FWD (Front Wheel Drive),21.13,Injection,Diesel,Sedan,4.0,110PS@4000rpm,250Nm@1500-2500rpm,5.0,Fabric,Manual,2552 mm,,Manual Air conditioning with cooling and heating,2.0,Yes,
1105,Skoda,Rapid,1.6 Mpi Active,Skoda Rapid 1.6 Mpi Active,881916,1598 cc,4.0,FWD (Front Wheel Drive),15.41,Injection,Petrol,Sedan,4.0,105PS@5250rpm,153Nm@3750-3800rpm,5.0,Fabric,Manual,2552 mm,,Manual Air conditioning with cooling and heating,2.0,Yes,
1106,Skoda,Rapid,1.5 Tdi Cr Ambition,Skoda Rapid 1.5 Tdi Cr Ambition,1129599,1498 cc,4.0,FWD (Front Wheel Drive),21.13,Injection,Diesel,Sedan,4.0,110PS@4000rpm,250Nm@1500-2500rpm,5.0,Fabric,Manual,2552 mm,,Fully automatic climate control,2.0,Rear sensors,
1107,Skoda,Rapid,1.5 Tdi Cr Ambition At,Skoda Rapid 1.5 Tdi Cr Ambition At,1249599,1498 cc,4.0,FWD (Front Wheel Drive),21.72,Injection,Diesel,Sedan,4.0,110PS@4000rpm,250Nm@1500-2500rpm,5.0,Fabric,Automatic,2552 mm,,Fully automatic climate control,2.0,Rear sensors,
1108,Skoda,Rapid,1.6 Mpi Style At,Skoda Rapid 1.6 Mpi Style At,1243599,1598 cc,4.0,FWD (Front Wheel Drive),14.84,Injection,Petrol,Sedan,4.0,105PS@5250rpm,153Nm@3750-3800rpm,5.0,Leather,Automatic,2552 mm,,Fully automatic climate control,2.0,Rear sensors,Yes
1109,Skoda,Rapid,1.5 Tdi Cr Style At,Skoda Rapid 1.5 Tdi Cr Style At,1399599,1498 cc,4.0,FWD (Front Wheel Drive),21.72,Injection,Diesel,Sedan,4.0,110PS@4000rpm,250Nm@1500-2500rpm,5.0,Leather,Automatic,2552 mm,,Fully automatic climate control,2.0,,Yes
