,make,model,variant,car,price,displacement,cylinders,drivetrain,mileage,fuel_system,fuel_capacity,fuel_type,height,length,width,body_type,doors,power,torque,seating_capacity,seat_material,type,wheelbase,bts,cluster
251,Bmw,X3,Xdrive20D Xline,Bmw X3 Xdrive20D Xline,5600000,1995,4,4WD,18.56,Injection,67 litres,Diesel,1678 mm,4657 mm,1881 mm,SUV,5,187.4,400,5,Leather,Automatic,2810,SUV,4
252,Audi,S5,Sportback,Audi S5 Sportback,7243000,2995,6,AWD (All Wheel Drive),13.57,Injection,58 litres,Petrol,1384 mm,4718 mm,1843 mm,Sedan,4,328.44,500,5,Leather,Automatic,2811,Sed,4
253,Ford,Mustang,Fastback V8,Ford Mustang Fastback V8,7462000,4951,8,RWD (Rear Wheel Drive),13.0,Injection,60.9 litres,Petrol,1391 mm,4784 mm,2080 mm,"Sedan, Coupe",3,395.51,515,4,Leather,Automatic,2720,"Sed,Cou",4
254,Jeep,Grand Cherokee,Limited,Jeep Grand Cherokee Limited,7882867,2987,6,AWD (All Wheel Drive),12.8,Injection,93.5 litres,Diesel,1802 mm,4828 mm,1943 mm,SUV,5,236.72,570,5,Leather,Automatic,2915,SUV,4
255,Jeep,Grand Cherokee,Summit,Jeep Grand Cherokee Summit,8931819,2987,6,AWD (All Wheel Drive),12.8,Injection,93.5 litres,Diesel,1802 mm,4828 mm,1943 mm,SUV,5,236.72,570,5,Leather,Automatic,2915,SUV,4
256,Jeep,Grand Cherokee,Srt,Jeep Grand Cherokee Srt,11400000,6417,8,AWD (All Wheel Drive),12.8,Injection,93.5 litres,Petrol,1749 mm,4846 mm,1954 mm,SUV,5,461.6,624,5,Leather,Automatic,2915,SUV,4
257,Jeep,Grand Cherokee,Summit Petrol,Jeep Grand Cherokee Summit Petrol,7515000,3604,6,AWD (All Wheel Drive),8.61,Injection,93.5 litres,Petrol,1802 mm,4828 mm,1943 mm,SUV,5,282.09,347,5,Leather,Automatic,2915,SUV,4
258,Mercedes,Benz E-Class Cabriolet,E400,Mercedes Benz E-Class Cabriolet E400,7711338,2996,6,AWD (All Wheel Drive),10.0,Injection,80 litres,Petrol,1398 mm,4703 mm,1786 mm,Convertible,2,329.43,480,4,Leather,Automatic,2760,Con,4
259,Bmw,M2 Competition,Coupe,Bmw M2 Competition Coupe,8180000,2979,6,RWD (Rear Wheel Drive),10.0,Injection,52 litres,Petrol,1410 mm,4461 mm,1854 mm,Coupe,2,404.39,550,4,Leather,Automatic,2693,Cou,4
260,Porsche,718,Boxster,Porsche 718 Boxster,8995000,1988,4,RWD (Rear Wheel Drive),7.4,Injection,54 litres,Petrol,1281 mm,4379 mm,1801 mm,Convertible,2,295.9,380,2,Leather,Automatic,2475,Con,4
261,Porsche,718,Cayman,Porsche 718 Cayman,8595000,1988,4,RWD (Rear Wheel Drive),7.4,Injection,54 litres,Petrol,1281 mm,4379 mm,1801 mm,Coupe,2,295.9,380,2,Leather,Automatic,2475,Cou,4
262,Mercedes,Benz Gls,350 Cdi,Mercedes Benz Gls 350 Cdi,8820000,2987,6,AWD (All Wheel Drive),11.6,Injection,100 litres,Diesel,1850 mm,5120 mm,1934 mm,SUV,4,254.47,619,5,Leather,Automatic,3075,SUV,4
263,Mercedes,Benz Gls,63 Amg,Mercedes Benz Gls 63 Amg,19199181,5461,8,AWD (All Wheel Drive),12.0,Injection,80 litres,Petrol,1850 mm,5146 mm,1982 mm,SUV,4,549.38,760,7,Leather,Automatic,3075,SUV,3
264,Mercedes,Benz Gls,400 4Matic,Mercedes Benz Gls 400 4Matic,8776900,2996,8,AWD (All Wheel Drive),12.0,Injection,80 litres,Petrol,1850 mm,5146 mm,1982 mm,SUV,4,328.44,480,7,Leather,Automatic,3075,SUV,4
265,Mercedes,Benz Gls,Grand Edition Petrol,Mercedes Benz Gls Grand Edition Petrol,8690000,2996,8,AWD (All Wheel Drive),12.0,Injection,80 litres,Petrol,1850 mm,5146 mm,1982 mm,SUV,4,328.44,480,7,Leather,Automatic,3075,SUV,4
266,Mercedes,Benz Gls,Grand Edition Diesel,Mercedes Benz Gls Grand Edition Diesel,8690000,2987,6,AWD (All Wheel Drive),11.6,Injection,100 litres,Diesel,1850 mm,5120 mm,1934 mm,SUV,4,254.47,619,5,Leather,Automatic,3075,SUV,4
267,Toyota,Land Cruiser Prado,Vx L,Toyota Land Cruiser Prado Vx L,9630000,2982,4,4WD,11.13,Injection,87 litres,Diesel,1880 mm,4840 mm,1885 mm,SUV,5,170.63,410,7,Leather,Automatic,2790,SUV,4
268,Lexus,Rx 450H,450Hl Luxury,Lexus Rx 450H 450Hl Luxury,9900000,3456,6,AWD (All Wheel Drive),18.0,Injection,65 litres,Petrol,1700 mm,5000 mm,1895 mm,SUV,4,258.42,335,5,Leather,Automatic,2790,SUV,4
269,Bmw,7-Series,730Ld Design Pure Excellence,Bmw 7-Series 730Ld Design Pure Excellence,12290000,2993,6,AWD (All Wheel Drive),17.66,Injection,78 litres,Diesel,1479 mm,5120 mm,2169 mm,Sedan,4,261.37,620,4,Leather,Automatic,3210,Sed,4
270,Bmw,7-Series,730Ld Design Pure Excellence Signature,Bmw 7-Series 730Ld Design Pure Excellence Signature,13200000,2993,6,AWD (All Wheel Drive),17.66,Injection,78 litres,Diesel,1479 mm,5120 mm,2169 mm,Sedan,4,261.37,620,4,Leather,Automatic,3210,Sed,4
271,Bmw,7-Series,730Ld M Sport,Bmw 7-Series 730Ld M Sport,13510000,2993,6,AWD (All Wheel Drive),17.66,Injection,78 litres,Diesel,1479 mm,5120 mm,2169 mm,Sedan,4,261.37,620,4,Leather,Automatic,3210,Sed,4
272,Bmw,7-Series,740Li Design Pure Excellence Signature,Bmw 7-Series 740Li Design Pure Excellence Signature,13510000,2998,6,AWD (All Wheel Drive),11.86,Injection,78 litres,Petrol,1479 mm,5120 mm,2169 mm,Sedan,4,335.35,450,4,Leather,Automatic,3210,Sed,4
273,Bmw,7-Series,M760Li Xdrive,Bmw 7-Series M760Li Xdrive,24250000,6592,12,AWD (All Wheel Drive),7.96,Injection,78 litres,Petrol,1481 mm,5219 mm,2142 mm,Sedan,4,600.67,850,4,Leather,Automatic,3110,Sed,3
274,Mercedes,Benz S-Class,S 350 D,Mercedes Benz S-Class S 350 D,13558438,2987,6,RWD (Rear Wheel Drive),13.5,Injection,90 litres,Diesel,1494 mm,5116 mm,1899 mm,Sedan,4,254.47,620,5,Fabric,Automatic,3035,Sed,4
275,Mercedes,Benz S-Class,S 450,Mercedes Benz S-Class S 450,13976653,2996,6,RWD (Rear Wheel Drive),7.8,Injection,70 litres,Petrol,1494 mm,5246 mm,1899 mm,Sedan,4,328.44,480,5,Leather,Automatic,3165,Sed,4
276,Mercedes,Benz S-Class,Amg S 63 Coupe,Mercedes Benz S-Class Amg S 63 Coupe,25500000,3982,8,AWD (All Wheel Drive),14.0,Injection,80 litres,Petrol,1411 mm,5027 mm,1899 mm,Coupe,2,443.84,900,4,Leather,Automatic,2945,Cou,3
277,Maserati,Levante,Diesel,Maserati Levante Diesel,14512054,2987,6,AWD (All Wheel Drive),7.9,Injection,80 litres,Diesel,1679 mm,5003 mm,2158 mm,SUV,4,271.24,600,4,Leather,Automatic,3004,SUV,3
278,Maserati,Levante,Gransport,Maserati Levante Gransport,14863774,2979,6,AWD (All Wheel Drive),7.9,Injection,80 litres,Diesel,1679 mm,5003 mm,2158 mm,SUV,5,345.21,500,4,Leather,Automatic,3004,SUV,3
279,Maserati,Levante,Granlusson,Maserati Levante Granlusson,15383399,2979,6,AWD (All Wheel Drive),7.9,Injection,80 litres,Diesel,1679 mm,5003 mm,2158 mm,SUV,5,424.12,580,4,Leather,Automatic,3004,SUV,3
280,Maserati,Granturismo,Sport,Maserati Granturismo Sport,17229579,4691,8,RWD (Rear Wheel Drive),10.0,Injection,86 litres,Petrol,1353 mm,4881 mm,1915 mm,Coupe,2,453.71,520,4,Leather,Automatic,2942,Cou,3
281,Maserati,Quattroporte,Granlusso,Maserati Quattroporte Granlusso,17900000,2987,6,RWD (Rear Wheel Drive),7.9,Injection,70 litres,Diesel,1481 mm,5262 mm,1948 mm,Sports,4,271.24,600,4,Leather,Automatic,3171,Spo,3
282,Mercedes,Benz Maybach,S650,Mercedes Benz Maybach S650,27308312,5980,12,AWD (All Wheel Drive),7.8,Injection,80 litres,Petrol,1498 mm,5453 mm,1899 mm,Sedan,4,621.38,1000,4,Leather,Automatic,3365,Sed,3
283,Mercedes,Benz Maybach,S560,Mercedes Benz Maybach S560,19890000,4663,8,AWD (All Wheel Drive),7.8,Injection,80 litres,Petrol,1494 mm,5246 mm,1899 mm,Sedan,4,446.8,700,4,Leather,Automatic,3165,Sed,3
284,Porsche,Panamera,Turbo,Porsche Panamera Turbo,21263000,3996,8,AWD (All Wheel Drive),10.63,Injection,90 litres,Petrol,1427 mm,5049 mm,1937 mm,Sedan,4,542.48,770,4,Leather,Automatic,2950,Sed,3
285,Porsche,Panamera,Turbo Executive,Porsche Panamera Turbo Executive,22613000,3996,8,AWD (All Wheel Drive),10.63,Injection,90 litres,Petrol,1432 mm,5199 mm,1937 mm,Sedan,4,542.48,770,4,Leather,Automatic,3100,Sed,3
286,Porsche,Panamera,Turbo Sport Turismo,Porsche Panamera Turbo Sport Turismo,21747000,3996,8,AWD (All Wheel Drive),10.63,Injection,90 litres,Petrol,1432 mm,5049 mm,1937 mm,Sedan,4,542.48,770,4,Leather,Automatic,2950,Sed,3
287,Mercedes,Benz S-Class Cabriolet,S500,Mercedes Benz S-Class Cabriolet S500,23491293,4663,8,RWD (Rear Wheel Drive),7.8,Injection,80 litres,Petrol,1417 mm,5027 mm,1899 mm,Convertible,2,448.78,700,4,Leather,Automatic,2945,Con,3
288,Audi,R8,V10 Plus,Audi R8 V10 Plus,27245000,5204,10,AWD (All Wheel Drive),6.71,Injection,75 litres,Petrol,1252 mm,4440 mm,2029 mm,Coupe,2,601.66,560,2,Leather,Automatic,2650,Cou,3
289,Lamborghini,Urus,V8,Lamborghini Urus V8,30000000,3996,8,AWD (All Wheel Drive),7.8,Injection,75 litres,Petrol,1638 mm,5112 mm,2181 mm,SUV,5,641.11,850,5,Leather,Automatic,3003,SUV,3
290,Bentley,Continental Gt,Coupe,Bentley Continental Gt Coupe,33791059,5998,12,AWD (All Wheel Drive),8.6,Injection,90 litres,Petrol,1401 mm,4807 mm,2226 mm,Coupe,2,581.93,720,4,Leather,Automatic,2746,Cou,5
291,Ferrari,Portofino,V8 Convertible,Ferrari Portofino V8 Convertible,35000000,3855,8,AWD (All Wheel Drive),9.0,Injection,92 litres,Petrol,1320 mm,4569 mm,1910 mm,Convertible,2,552.34,755,2,Leather,Automatic,2669,Con,5
292,Bentley,Bentayga,W12,Bentley Bentayga W12,45941557,5950,12,AWD (All Wheel Drive),19.0,PGM - Fi,85 litres,Petrol,1742 mm,5141 mm,1998 mm,SUV,5,599.68,900,5,Leather,Automatic,2992,SUV,5
